"R","G","B","Lightness","Saturation","Hue","outcome"
172,58,62,"dark","bright",4,"event"
26,88,151,"dark","bright",31,"event"
172,94,58,"dark","bright",8,"event"
28,87,152,"dark","bright",32,"non_event"
170,66,58,"dark","bright",5,"non_event"
175,89,65,"dark","bright",6,"non_event"
90,78,136,"dark","bright",34,"non_event"
194,106,53,"dark","bright",10,"non_event"
171,68,107,"dark","bright",1,"non_event"
122,151,59,"dark","bright",21,"non_event"
0,121,88,"dark","bright",24,"non_event"
88,140,58,"dark","bright",22,"non_event"
144,82,132,"dark","bright",36,"non_event"
214,163,50,"dark","bright",16,"non_event"
0,124,117,"dark","bright",26,"non_event"
194,127,56,"dark","bright",12,"non_event"
155,152,61,"dark","bright",19,"non_event"
187,133,47,"dark","bright",14,"non_event"
96,92,88,"dark","gray",11,"event"
91,76,68,"dark","gray",3,"event"
89,78,64,"dark","gray",12,"event"
82,94,104,"dark","gray",31,"event"
99,88,76,"dark","gray",6,"event"
96,80,75,"dark","gray",2,"event"
94,82,65,"dark","gray",13,"non_event"
101,100,87,"dark","gray",16,"non_event"
94,91,77,"dark","gray",18,"non_event"
91,90,77,"dark","gray",19,"non_event"
160,64,62,"dark","muted",4,"event"
35,78,134,"dark","muted",31,"event"
144,63,69,"dark","muted",3,"event"
55,72,116,"dark","muted",32,"event"
147,95,67,"dark","muted",8,"non_event"
164,73,61,"dark","muted",5,"non_event"
145,91,65,"dark","muted",7,"non_event"
4,98,122,"dark","muted",29,"non_event"
0,94,136,"dark","muted",30,"non_event"
105,72,120,"dark","muted",35,"non_event"
106,125,78,"dark","muted",22,"non_event"
195,158,68,"dark","muted",17,"non_event"
83,115,76,"dark","muted",23,"non_event"
131,69,93,"dark","muted",1,"non_event"
134,139,83,"dark","muted",21,"non_event"
161,123,77,"dark","muted",13,"non_event"
151,119,77,"dark","muted",14,"non_event"
162,139,54,"dark","muted",18,"non_event"
45,83,103,"dark","neutral",30,"event"
99,73,62,"dark","neutral",7,"event"
109,71,65,"dark","neutral",5,"event"
46,81,105,"dark","neutral",31,"event"
118,96,78,"dark","neutral",11,"event"
65,82,65,"dark","neutral",25,"non_event"
74,91,81,"dark","neutral",26,"non_event"
90,72,75,"dark","neutral",2,"non_event"
74,67,84,"dark","neutral",36,"non_event"
59,82,87,"dark","neutral",28,"non_event"
92,68,80,"dark","neutral",1,"non_event"
84,100,92,"dark","neutral",24,"non_event"
93,88,62,"dark","neutral",19,"non_event"
82,87,70,"dark","neutral",23,"non_event"
87,89,63,"dark","neutral",20,"non_event"
116,106,81,"dark","neutral",18,"non_event"
135,114,82,"dark","neutral",15,"non_event"
216,111,60,"dark","pure",8,"event"
180,73,64,"dark","pure",5,"event"
65,169,79,"dark","pure",23,"event"
198,73,76,"dark","pure",4,"event"
255,188,53,"dark","pure",13,"event"
239,146,74,"dark","pure",10,"non_event"
168,199,77,"dark","pure",20,"non_event"
188,83,57,"dark","pure",7,"non_event"
0,149,94,"dark","pure",24,"non_event"
121,190,88,"dark","pure",22,"non_event"
247,183,78,"dark","pure",12,"non_event"
237,155,68,"dark","pure",11,"non_event"
131,89,149,"dark","pure",35,"non_event"
239,204,68,"dark","pure",17,"non_event"
0,147,139,"dark","pure",26,"non_event"
201,204,74,"dark","pure",19,"non_event"
0,139,109,"dark","pure",25,"non_event"
217,199,55,"dark","pure",18,"non_event"
49,77,103,"dark","shaded",32,"event"
42,75,110,"dark","shaded",31,"event"
108,72,58,"dark","shaded",8,"event"
44,77,105,"dark","shaded",30,"event"
113,81,69,"dark","shaded",6,"non_event"
57,86,72,"dark","shaded",24,"non_event"
80,89,79,"dark","shaded",23,"non_event"
96,64,70,"dark","shaded",2,"non_event"
116,86,61,"dark","shaded",10,"non_event"
95,69,97,"dark","shaded",36,"non_event"
150,120,89,"dark","shaded",12,"non_event"
121,116,71,"dark","shaded",19,"non_event"
84,79,102,"dark","shaded",35,"non_event"
70,75,106,"dark","shaded",34,"non_event"
113,113,78,"dark","shaded",20,"non_event"
114,102,71,"dark","shaded",18,"non_event"
139,113,75,"dark","shaded",14,"non_event"
130,113,77,"dark","shaded",17,"non_event"
113,66,74,"dark","subdued",2,"event"
43,77,104,"dark","subdued",30,"event"
145,73,62,"dark","subdued",6,"event"
155,66,63,"dark","subdued",5,"event"
129,62,69,"dark","subdued",3,"event"
140,79,66,"dark","subdued",7,"non_event"
48,90,74,"dark","subdued",25,"non_event"
143,76,58,"dark","subdued",8,"non_event"
45,83,96,"dark","subdued",28,"non_event"
128,91,72,"dark","subdued",9,"non_event"
147,102,71,"dark","subdued",10,"non_event"
109,114,68,"dark","subdued",21,"non_event"
151,112,67,"dark","subdued",12,"non_event"
140,132,73,"dark","subdued",19,"non_event"
117,125,67,"dark","subdued",20,"non_event"
164,132,84,"dark","subdued",15,"non_event"
167,138,80,"dark","subdued",16,"non_event"
174,149,80,"dark","subdued",17,"non_event"
195,124,89,"deep","bright",8,"non_event"
150,175,84,"deep","bright",21,"non_event"
216,129,103,"deep","bright",7,"non_event"
53,111,173,"deep","bright",32,"non_event"
206,118,57,"deep","bright",10,"non_event"
28,112,173,"deep","bright",31,"non_event"
204,129,73,"deep","bright",11,"non_event"
118,165,91,"deep","bright",22,"non_event"
195,112,95,"deep","bright",6,"non_event"
26,149,151,"deep","bright",27,"non_event"
208,146,88,"deep","bright",12,"non_event"
206,152,68,"deep","bright",14,"non_event"
204,151,77,"deep","bright",13,"non_event"
228,193,77,"deep","bright",17,"non_event"
130,120,173,"deep","bright",34,"non_event"
227,179,76,"deep","bright",16,"non_event"
43,152,144,"deep","bright",26,"non_event"
166,162,63,"deep","bright",19,"non_event"
116,111,103,"deep","gray",11,"event"
88,89,96,"deep","gray",33,"event"
130,117,102,"deep","gray",12,"event"
118,104,89,"deep","gray",7,"event"
132,117,103,"deep","gray",6,"event"
101,110,114,"deep","gray",30,"event"
127,114,107,"deep","gray",3,"event"
120,109,94,"deep","gray",14,"event"
116,114,97,"deep","gray",16,"non_event"
121,102,96,"deep","gray",2,"non_event"
102,101,86,"deep","gray",19,"non_event"
121,110,84,"deep","gray",15,"non_event"
27,125,141,"deep","muted",28,"event"
40,100,146,"deep","muted",31,"non_event"
98,112,153,"deep","muted",33,"non_event"
77,134,129,"deep","muted",26,"non_event"
178,125,80,"deep","muted",10,"non_event"
52,118,153,"deep","muted",30,"non_event"
198,115,99,"deep","muted",5,"non_event"
183,115,94,"deep","muted",6,"non_event"
101,142,100,"deep","muted",23,"non_event"
175,138,91,"deep","muted",14,"non_event"
177,99,94,"deep","muted",4,"non_event"
192,152,86,"deep","muted",16,"non_event"
136,103,147,"deep","muted",35,"non_event"
43,123,102,"deep","muted",25,"non_event"
166,110,73,"deep","muted",9,"non_event"
169,88,108,"deep","muted",2,"non_event"
161,108,148,"deep","muted",36,"non_event"
181,159,85,"deep","muted",18,"non_event"
115,97,87,"deep","neutral",8,"event"
96,123,142,"deep","neutral",31,"event"
98,113,136,"deep","neutral",32,"event"
109,118,91,"deep","neutral",21,"event"
129,107,86,"deep","neutral",10,"event"
107,127,129,"deep","neutral",28,"non_event"
141,114,90,"deep","neutral",11,"non_event"
113,132,125,"deep","neutral",26,"non_event"
115,123,108,"deep","neutral",23,"non_event"
147,123,86,"deep","neutral",14,"non_event"
129,111,107,"deep","neutral",4,"non_event"
106,100,114,"deep","neutral",36,"non_event"
142,116,108,"deep","neutral",6,"non_event"
99,102,83,"deep","neutral",22,"non_event"
156,136,102,"deep","neutral",15,"non_event"
134,115,84,"deep","neutral",16,"non_event"
110,111,130,"deep","neutral",35,"non_event"
38,165,186,"deep","pure",28,"non_event"
246,154,84,"deep","pure",10,"non_event"
218,109,145,"deep","pure",1,"non_event"
218,82,101,"deep","pure",3,"non_event"
246,219,93,"deep","pure",17,"non_event"
230,217,67,"deep","pure",18,"non_event"
60,122,194,"deep","pure",32,"non_event"
165,203,102,"deep","pure",21,"non_event"
247,192,112,"deep","pure",12,"non_event"
190,213,101,"deep","pure",20,"non_event"
107,194,113,"deep","pure",23,"non_event"
225,95,101,"deep","pure",4,"non_event"
158,214,134,"deep","pure",22,"non_event"
0,164,131,"deep","pure",25,"non_event"
49,170,116,"deep","pure",24,"non_event"
164,117,177,"deep","pure",35,"non_event"
195,124,179,"deep","pure",36,"non_event"
116,135,198,"deep","pure",33,"non_event"
76,97,119,"deep","shaded",32,"event"
58,95,125,"deep","shaded",31,"event"
82,103,113,"deep","shaded",29,"event"
110,86,74,"deep","shaded",9,"event"
137,103,87,"deep","shaded",8,"event"
166,137,102,"deep","shaded",12,"non_event"
86,115,111,"deep","shaded",27,"non_event"
156,103,87,"deep","shaded",7,"non_event"
118,131,113,"deep","shaded",23,"non_event"
139,140,107,"deep","shaded",21,"non_event"
141,135,82,"deep","shaded",19,"non_event"
147,98,91,"deep","shaded",5,"non_event"
99,125,116,"deep","shaded",24,"non_event"
160,133,92,"deep","shaded",13,"non_event"
175,148,104,"deep","shaded",14,"non_event"
140,108,111,"deep","shaded",2,"non_event"
145,119,71,"deep","shaded",16,"non_event"
141,121,79,"deep","shaded",17,"non_event"
74,104,113,"deep","subdued",28,"event"
29,92,131,"deep","subdued",30,"event"
54,93,115,"deep","subdued",29,"event"
50,99,149,"deep","subdued",32,"event"
163,125,90,"deep","subdued",11,"non_event"
86,116,95,"deep","subdued",24,"non_event"
158,102,84,"deep","subdued",8,"non_event"
155,91,85,"deep","subdued",4,"non_event"
153,110,90,"deep","subdued",9,"non_event"
114,144,103,"deep","subdued",23,"non_event"
159,114,80,"deep","subdued",10,"non_event"
178,137,89,"deep","subdued",14,"non_event"
72,122,123,"deep","subdued",27,"non_event"
127,131,83,"deep","subdued",21,"non_event"
187,159,106,"deep","subdued",16,"non_event"
177,148,102,"deep","subdued",15,"non_event"
166,154,92,"deep","subdued",19,"non_event"
96,106,136,"deep","subdued",33,"non_event"
244,229,197,"light","bright",15,"non_event"
244,232,209,"light","bright",13,"non_event"
241,211,217,"light","bright",2,"non_event"
246,229,185,"light","bright",16,"non_event"
189,225,216,"light","bright",25,"non_event"
197,229,226,"light","bright",26,"non_event"
209,230,213,"light","bright",23,"non_event"
242,219,214,"light","bright",5,"non_event"
227,215,229,"light","bright",35,"non_event"
240,237,209,"light","bright",18,"non_event"
239,220,202,"light","bright",11,"non_event"
243,224,216,"light","bright",7,"non_event"
227,235,174,"light","bright",20,"non_event"
243,202,203,"light","bright",3,"non_event"
243,223,212,"light","bright",8,"non_event"
218,222,233,"light","bright",33,"non_event"
242,227,220,"light","bright",6,"non_event"
234,224,232,"light","bright",36,"non_event"
206,202,193,"light","gray",10,"event"
207,201,188,"light","gray",11,"event"
219,215,206,"light","gray",14,"event"
217,220,221,"light","gray",33,"event"
217,208,193,"light","gray",12,"event"
185,192,192,"light","gray",30,"event"
214,203,191,"light","gray",5,"event"
189,187,173,"light","gray",18,"event"
223,230,234,"light","gray",32,"event"
217,202,195,"light","gray",2,"non_event"
230,228,228,"light","gray",1,"non_event"
217,220,209,"light","gray",21,"non_event"
206,224,227,"light","muted",28,"event"
190,209,225,"light","muted",31,"non_event"
241,217,165,"light","muted",16,"non_event"
241,233,207,"light","muted",15,"non_event"
198,222,207,"light","muted",24,"non_event"
246,230,203,"light","muted",13,"non_event"
224,234,215,"light","muted",22,"non_event"
236,201,202,"light","muted",3,"non_event"
210,230,211,"light","muted",23,"non_event"
205,226,222,"light","muted",26,"non_event"
234,217,203,"light","muted",10,"non_event"
229,221,231,"light","muted",35,"non_event"
232,221,174,"light","muted",18,"non_event"
220,223,229,"light","muted",33,"non_event"
228,228,197,"light","muted",21,"non_event"
235,209,205,"light","muted",4,"non_event"
244,222,217,"light","muted",5,"non_event"
234,221,225,"light","muted",1,"non_event"
228,217,197,"light","neutral",12,"event"
232,221,198,"light","neutral",14,"event"
227,221,204,"light","neutral",17,"event"
232,225,213,"light","neutral",11,"event"
230,224,204,"light","neutral",15,"event"
234,227,216,"light","neutral",8,"event"
207,210,199,"light","neutral",23,"event"
209,206,180,"light","neutral",19,"non_event"
235,218,200,"light","neutral",10,"non_event"
222,232,227,"light","neutral",26,"non_event"
212,226,230,"light","neutral",30,"non_event"
221,228,227,"light","neutral",29,"non_event"
223,235,233,"light","neutral",28,"non_event"
216,222,206,"light","neutral",21,"non_event"
226,232,223,"light","neutral",25,"non_event"
222,228,220,"light","neutral",24,"non_event"
216,221,204,"light","neutral",22,"non_event"
240,220,215,"light","neutral",3,"non_event"
244,239,195,"light","pure",16,"non_event"
212,237,230,"light","pure",26,"non_event"
203,227,238,"light","pure",30,"non_event"
211,224,236,"light","pure",32,"non_event"
189,232,216,"light","pure",25,"non_event"
243,216,224,"light","pure",1,"non_event"
246,226,216,"light","pure",6,"non_event"
242,225,210,"light","pure",10,"non_event"
247,204,205,"light","pure",3,"non_event"
232,229,236,"light","pure",34,"non_event"
232,240,226,"light","pure",22,"non_event"
245,229,220,"light","pure",7,"non_event"
232,222,234,"light","pure",35,"non_event"
246,216,215,"light","pure",4,"non_event"
244,217,200,"light","pure",9,"non_event"
238,225,235,"light","pure",36,"non_event"
237,239,203,"light","pure",20,"non_event"
234,236,185,"light","pure",19,"non_event"
236,227,204,"light","shaded",13,"event"
229,219,197,"light","shaded",16,"event"
236,226,212,"light","shaded",11,"event"
227,211,181,"light","shaded",14,"event"
202,215,222,"light","shaded",30,"non_event"
193,206,218,"light","shaded",31,"non_event"
232,224,216,"light","shaded",10,"non_event"
208,215,223,"light","shaded",33,"non_event"
243,219,217,"light","shaded",4,"non_event"
230,240,234,"light","shaded",24,"non_event"
224,216,223,"light","shaded",36,"non_event"
233,210,204,"light","shaded",5,"non_event"
229,230,215,"light","shaded",22,"non_event"
213,226,225,"light","shaded",28,"non_event"
224,222,227,"light","shaded",35,"non_event"
239,221,223,"light","shaded",2,"non_event"
236,212,210,"light","shaded",3,"non_event"
219,220,226,"light","shaded",34,"non_event"
199,211,224,"light","subdued",32,"event"
209,222,228,"light","subdued",29,"event"
240,229,199,"light","subdued",15,"event"
195,217,228,"light","subdued",31,"non_event"
235,208,164,"light","subdued",14,"non_event"
239,229,217,"light","subdued",12,"non_event"
196,211,220,"light","subdued",30,"non_event"
191,214,200,"light","subdued",25,"non_event"
211,224,222,"light","subdued",27,"non_event"
206,222,226,"light","subdued",28,"non_event"
220,229,216,"light","subdued",23,"non_event"
218,219,223,"light","subdued",33,"non_event"
223,227,208,"light","subdued",21,"non_event"
234,212,196,"light","subdued",9,"non_event"
238,218,221,"light","subdued",2,"non_event"
221,224,234,"light","subdued",34,"non_event"
237,224,227,"light","subdued",1,"non_event"
243,226,220,"light","subdued",3,"non_event"
239,206,160,"midtone","bright",13,"non_event"
148,200,210,"midtone","bright",28,"non_event"
243,228,167,"midtone","bright",17,"non_event"
238,201,170,"midtone","bright",12,"non_event"
126,163,210,"midtone","bright",32,"non_event"
230,165,127,"midtone","bright",9,"non_event"
143,205,199,"midtone","bright",26,"non_event"
229,160,144,"midtone","bright",6,"non_event"
204,216,122,"midtone","bright",20,"non_event"
186,215,174,"midtone","bright",22,"non_event"
237,170,128,"midtone","bright",10,"non_event"
119,195,180,"midtone","bright",25,"non_event"
213,206,105,"midtone","bright",19,"non_event"
128,196,169,"midtone","bright",24,"non_event"
230,142,150,"midtone","bright",3,"non_event"
239,193,181,"midtone","bright",7,"non_event"
230,157,173,"midtone","bright",2,"non_event"
227,164,184,"midtone","bright",1,"non_event"
209,201,186,"midtone","gray",13,"event"
177,170,156,"midtone","gray",14,"event"
161,152,139,"midtone","gray",11,"event"
169,154,137,"midtone","gray",7,"event"
183,166,150,"midtone","gray",6,"event"
167,174,165,"midtone","gray",21,"event"
156,163,137,"midtone","gray",20,"event"
137,160,166,"midtone","gray",28,"event"
147,149,129,"midtone","gray",19,"event"
151,147,129,"midtone","gray",18,"non_event"
183,169,162,"midtone","gray",2,"non_event"
192,178,177,"midtone","gray",1,"non_event"
143,188,196,"midtone","muted",28,"event"
140,195,195,"midtone","muted",27,"event"
114,156,194,"midtone","muted",31,"event"
136,181,196,"midtone","muted",29,"non_event"
216,166,134,"midtone","muted",9,"non_event"
216,185,140,"midtone","muted",12,"non_event"
223,192,166,"midtone","muted",10,"non_event"
226,195,146,"midtone","muted",15,"non_event"
231,206,181,"midtone","muted",11,"non_event"
194,177,200,"midtone","muted",35,"non_event"
221,166,159,"midtone","muted",4,"non_event"
217,177,159,"midtone","muted",7,"non_event"
236,188,178,"midtone","muted",5,"non_event"
230,194,111,"midtone","muted",16,"non_event"
198,187,104,"midtone","muted",19,"non_event"
214,179,192,"midtone","muted",1,"non_event"
209,148,161,"midtone","muted",2,"non_event"
215,194,117,"midtone","muted",18,"non_event"
198,180,156,"midtone","neutral",12,"event"
205,186,153,"midtone","neutral",14,"event"
192,175,146,"midtone","neutral",16,"event"
181,200,201,"midtone","neutral",28,"event"
186,203,196,"midtone","neutral",26,"event"
172,175,149,"midtone","neutral",20,"event"
168,187,186,"midtone","neutral",27,"event"
177,179,190,"midtone","neutral",34,"event"
171,181,196,"midtone","neutral",33,"non_event"
189,173,164,"midtone","neutral",8,"non_event"
171,179,158,"midtone","neutral",22,"non_event"
173,198,211,"midtone","neutral",30,"non_event"
179,198,185,"midtone","neutral",25,"non_event"
208,187,176,"midtone","neutral",7,"non_event"
210,187,178,"midtone","neutral",6,"non_event"
202,183,192,"midtone","neutral",1,"non_event"
217,190,188,"midtone","neutral",3,"non_event"
156,212,225,"midtone","pure",28,"event"
128,193,226,"midtone","pure",29,"non_event"
181,228,228,"midtone","pure",27,"non_event"
98,165,223,"midtone","pure",31,"non_event"
