"R","G","B","Lightness","Saturation","Hue","y"
172,58,62,"dark","bright",4,-1.99243016469021
26,88,151,"dark","bright",31,-2.19722457733622
172,94,58,"dark","bright",8,-1.65822807660353
28,87,152,"dark","bright",32,-2.19722457733622
170,66,58,"dark","bright",5,-2.09074109693377
175,89,65,"dark","bright",6,-1.65822807660353
90,78,136,"dark","bright",34,-2.19722457733622
194,106,53,"dark","bright",10,-1.450010175506
171,68,107,"dark","bright",1,-1.81528996663825
122,151,59,"dark","bright",21,-1.09861228866811
0,121,88,"dark","bright",24,-1.81528996663825
88,140,58,"dark","bright",22,-1.450010175506
144,82,132,"dark","bright",36,-1.81528996663825
214,163,50,"dark","bright",16,-0.489548225318706
0,124,117,"dark","bright",26,-1.73460105538811
194,127,56,"dark","bright",12,-1.09861228866811
155,152,61,"dark","bright",19,-0.944461608840851
187,133,47,"dark","bright",14,-1.09861228866811
96,92,88,"dark","gray",11,-2.09074109693377
91,76,68,"dark","gray",3,-2.4423470353692
89,78,64,"dark","gray",12,-2.58668934409794
82,94,104,"dark","gray",31,-2.09074109693377
99,88,76,"dark","gray",6,-2.19722457733622
96,80,75,"dark","gray",2,-2.31363492918063
94,82,65,"dark","gray",13,-2.4423470353692
101,100,87,"dark","gray",16,-1.90095876119305
94,91,77,"dark","gray",18,-2.19722457733622
91,90,77,"dark","gray",19,-2.19722457733622
160,64,62,"dark","muted",4,-2.09074109693377
35,78,134,"dark","muted",31,-2.4423470353692
144,63,69,"dark","muted",3,-2.31363492918063
55,72,116,"dark","muted",32,-2.75153531304195
147,95,67,"dark","muted",8,-1.81528996663825
164,73,61,"dark","muted",5,-1.99243016469021
145,91,65,"dark","muted",7,-1.90095876119305
4,98,122,"dark","muted",29,-2.09074109693377
0,94,136,"dark","muted",30,-2.19722457733622
105,72,120,"dark","muted",35,-2.31363492918063
106,125,78,"dark","muted",22,-1.51634748936809
195,158,68,"dark","muted",17,-0.663294217410264
83,115,76,"dark","muted",23,-1.73460105538811
131,69,93,"dark","muted",1,-2.19722457733622
134,139,83,"dark","muted",21,-1.20831120592453
161,123,77,"dark","muted",13,-1.3249254147436
151,119,77,"dark","muted",14,-1.38629436111989
162,139,54,"dark","muted",18,-1.04596855518269
45,83,103,"dark","neutral",30,-2.4423470353692
99,73,62,"dark","neutral",7,-2.58668934409794
109,71,65,"dark","neutral",5,-2.58668934409794
46,81,105,"dark","neutral",31,-2.4423470353692
118,96,78,"dark","neutral",11,-1.90095876119305
65,82,65,"dark","neutral",25,-2.58668934409794
74,91,81,"dark","neutral",26,-2.4423470353692
90,72,75,"dark","neutral",2,-2.4423470353692
74,67,84,"dark","neutral",36,-2.75153531304195
59,82,87,"dark","neutral",28,-2.58668934409794
92,68,80,"dark","neutral",1,-2.58668934409794
84,100,92,"dark","neutral",24,-1.99243016469021
93,88,62,"dark","neutral",19,-2.31363492918063
82,87,70,"dark","neutral",23,-2.31363492918063
87,89,63,"dark","neutral",20,-2.31363492918063
116,106,81,"dark","neutral",18,-1.81528996663825
135,114,82,"dark","neutral",15,-1.58562726374038
216,111,60,"dark","pure",8,-1.04596855518269
180,73,64,"dark","pure",5,-1.90095876119305
65,169,79,"dark","pure",23,-0.944461608840851
198,73,76,"dark","pure",4,-1.58562726374038
255,188,53,"dark","pure",13,0.241162056816888
239,146,74,"dark","pure",10,-0.489548225318706
168,199,77,"dark","pure",20,-0.0800427076735365
188,83,57,"dark","pure",7,-1.73460105538811
0,149,94,"dark","pure",24,-1.26566637333128
121,190,88,"dark","pure",22,-0.405465108108164
247,183,78,"dark","pure",12,0.0800427076735366
237,155,68,"dark","pure",11,-0.447312218043665
131,89,149,"dark","pure",35,-1.73460105538811
239,204,68,"dark","pure",17,0.363965377201411
0,147,139,"dark","pure",26,-1.26566637333128
201,204,74,"dark","pure",19,0.120144311842063
0,139,109,"dark","pure",25,-1.450010175506
217,199,55,"dark","pure",18,0.120144311842063
49,77,103,"dark","shaded",32,-2.4423470353692
42,75,110,"dark","shaded",31,-2.58668934409794
108,72,58,"dark","shaded",8,-2.4423470353692
44,77,105,"dark","shaded",30,-2.75153531304195
113,81,69,"dark","shaded",6,-2.19722457733622
57,86,72,"dark","shaded",24,-2.58668934409794
80,89,79,"dark","shaded",23,-2.31363492918063
96,64,70,"dark","shaded",2,-2.31363492918063
116,86,61,"dark","shaded",10,-2.19722457733622
95,69,97,"dark","shaded",36,-2.58668934409794
150,120,89,"dark","shaded",12,-1.38629436111989
121,116,71,"dark","shaded",19,-1.65822807660353
84,79,102,"dark","shaded",35,-2.4423470353692
70,75,106,"dark","shaded",34,-2.58668934409794
113,113,78,"dark","shaded",20,-1.65822807660353
114,102,71,"dark","shaded",18,-1.90095876119305
139,113,75,"dark","shaded",14,-1.58562726374038
130,113,77,"dark","shaded",17,-1.58562726374038
113,66,74,"dark","subdued",2,-2.58668934409794
43,77,104,"dark","subdued",30,-2.58668934409794
145,73,62,"dark","subdued",6,-2.19722457733622
155,66,63,"dark","subdued",5,-2.19722457733622
129,62,69,"dark","subdued",3,-2.58668934409794
140,79,66,"dark","subdued",7,-2.19722457733622
48,90,74,"dark","subdued",25,-2.4423470353692
143,76,58,"dark","subdued",8,-2.19722457733622
45,83,96,"dark","subdued",28,-2.4423470353692
128,91,72,"dark","subdued",9,-1.99243016469021
147,102,71,"dark","subdued",10,-1.65822807660353
109,114,68,"dark","subdued",21,-1.73460105538811
151,112,67,"dark","subdued",12,-1.58562726374038
140,132,73,"dark","subdued",19,-1.26566637333128
117,125,67,"dark","subdued",20,-1.51634748936809
164,132,84,"dark","subdued",15,-1.15267950993839
167,138,80,"dark","subdued",16,-1.04596855518269
174,149,80,"dark","subdued",17,-0.847297860387204
195,124,89,"deep","bright",8,-1.04596855518269
150,175,84,"deep","bright",21,-0.575364144903562
216,129,103,"deep","bright",7,-0.847297860387204
53,111,173,"deep","bright",32,-1.58562726374038
206,118,57,"deep","bright",10,-1.09861228866811
28,112,173,"deep","bright",31,-1.65822807660353
204,129,73,"deep","bright",11,-0.944461608840851
118,165,91,"deep","bright",22,-0.847297860387204
195,112,95,"deep","bright",6,-1.20831120592453
26,149,151,"deep","bright",27,-1.09861228866811
208,146,88,"deep","bright",12,-0.708185057924486
206,152,68,"deep","bright",14,-0.663294217410264
204,151,77,"deep","bright",13,-0.663294217410264
228,193,77,"deep","bright",17,0.0800427076735366
130,120,173,"deep","bright",34,-1.26566637333128
227,179,76,"deep","bright",16,-0.160342650075179
43,152,144,"deep","bright",26,-1.09861228866811
166,162,63,"deep","bright",19,-0.708185057924486
116,111,103,"deep","gray",11,-1.65822807660353
88,89,96,"deep","gray",33,-2.19722457733622
130,117,102,"deep","gray",12,-1.51634748936809
118,104,89,"deep","gray",7,-1.81528996663825
132,117,103,"deep","gray",6,-1.51634748936809
101,110,114,"deep","gray",30,-1.73460105538811
127,114,107,"deep","gray",3,-1.58562726374038
120,109,94,"deep","gray",14,-1.65822807660353
116,114,97,"deep","gray",16,-1.65822807660353
121,102,96,"deep","gray",2,-1.81528996663825
102,101,86,"deep","gray",19,-1.90095876119305
121,110,84,"deep","gray",15,-1.73460105538811
27,125,141,"deep","muted",28,-1.51634748936809
40,100,146,"deep","muted",31,-1.90095876119305
98,112,153,"deep","muted",33,-1.58562726374038
77,134,129,"deep","muted",26,-1.38629436111989
178,125,80,"deep","muted",10,-1.15267950993839
52,118,153,"deep","muted",30,-1.58562726374038
198,115,99,"deep","muted",5,-1.09861228866811
183,115,94,"deep","muted",6,-1.3249254147436
101,142,100,"deep","muted",23,-1.26566637333128
175,138,91,"deep","muted",14,-0.994622575144062
177,99,94,"deep","muted",4,-1.58562726374038
192,152,86,"deep","muted",16,-0.708185057924486
136,103,147,"deep","muted",35,-1.58562726374038
43,123,102,"deep","muted",25,-1.65822807660353
166,110,73,"deep","muted",9,-1.450010175506
169,88,108,"deep","muted",2,-1.58562726374038
161,108,148,"deep","muted",36,-1.3249254147436
181,159,85,"deep","muted",18,-0.619039208406224
115,97,87,"deep","neutral",8,-1.90095876119305
96,123,142,"deep","neutral",31,-1.58562726374038
98,113,136,"deep","neutral",32,-1.58562726374038
109,118,91,"deep","neutral",21,-1.65822807660353
129,107,86,"deep","neutral",10,-1.65822807660353
107,127,129,"deep","neutral",28,-1.38629436111989
141,114,90,"deep","neutral",11,-1.51634748936809
113,132,125,"deep","neutral",26,-1.3249254147436
115,123,108,"deep","neutral",23,-1.450010175506
147,123,86,"deep","neutral",14,-1.38629436111989
129,111,107,"deep","neutral",4,-1.65822807660353
106,100,114,"deep","neutral",36,-1.58562726374038
142,116,108,"deep","neutral",6,-1.450010175506
99,102,83,"deep","neutral",22,-1.90095876119305
156,136,102,"deep","neutral",15,-1.09861228866811
134,115,84,"deep","neutral",16,-1.51634748936809
110,111,130,"deep","neutral",35,-1.58562726374038
38,165,186,"deep","pure",28,-0.708185057924486
246,154,84,"deep","pure",10,-0.363965377201412
218,109,145,"deep","pure",1,-0.944461608840851
218,82,101,"deep","pure",3,-1.26566637333128
246,219,93,"deep","pure",17,0.75377180237638
230,217,67,"deep","pure",18,0.532216813747308
60,122,194,"deep","pure",32,-1.38629436111989
165,203,102,"deep","pure",21,0
247,192,112,"deep","pure",12,0.281851152140987
190,213,101,"deep","pure",20,0.281851152140987
107,194,113,"deep","pure",23,-0.363965377201412
225,95,101,"deep","pure",4,-1.15267950993839
158,214,134,"deep","pure",22,0.200670695462151
0,164,131,"deep","pure",25,-0.994622575144062
49,170,116,"deep","pure",24,-0.847297860387204
164,117,177,"deep","pure",35,-1.09861228866811
195,124,179,"deep","pure",36,-0.847297860387204
116,135,198,"deep","pure",33,-1.04596855518269
76,97,119,"deep","shaded",32,-1.99243016469021
58,95,125,"deep","shaded",31,-2.09074109693377
82,103,113,"deep","shaded",29,-1.90095876119305
110,86,74,"deep","shaded",9,-2.19722457733622
137,103,87,"deep","shaded",8,-1.73460105538811
166,137,102,"deep","shaded",12,-1.04596855518269
86,115,111,"deep","shaded",27,-1.73460105538811
156,103,87,"deep","shaded",7,-1.58562726374038
118,131,113,"deep","shaded",23,-1.3249254147436
139,140,107,"deep","shaded",21,-1.09861228866811
141,135,82,"deep","shaded",19,-1.20831120592453
147,98,91,"deep","shaded",5,-1.73460105538811
99,125,116,"deep","shaded",24,-1.51634748936809
160,133,92,"deep","shaded",13,-1.15267950993839
175,148,104,"deep","shaded",14,-0.800119300112113
140,108,111,"deep","shaded",2,-1.58562726374038
145,119,71,"deep","shaded",16,-1.450010175506
141,121,79,"deep","shaded",17,-1.38629436111989
74,104,113,"deep","subdued",28,-1.90095876119305
29,92,131,"deep","subdued",30,-2.09074109693377
54,93,115,"deep","subdued",29,-2.09074109693377
50,99,149,"deep","subdued",32,-1.90095876119305
163,125,90,"deep","subdued",11,-1.20831120592453
86,116,95,"deep","subdued",24,-1.73460105538811
158,102,84,"deep","subdued",8,-1.58562726374038
155,91,85,"deep","subdued",4,-1.73460105538811
153,110,90,"deep","subdued",9,-1.450010175506
114,144,103,"deep","subdued",23,-1.15267950993839
159,114,80,"deep","subdued",10,-1.450010175506
178,137,89,"deep","subdued",14,-0.994622575144062
72,122,123,"deep","subdued",27,-1.58562726374038
127,131,83,"deep","subdued",21,-1.38629436111989
187,159,106,"deep","subdued",16,-0.619039208406224
177,148,102,"deep","subdued",15,-0.800119300112113
166,154,92,"deep","subdued",19,-0.800119300112113
96,106,136,"deep","subdued",33,-1.73460105538811
244,229,197,"light","bright",15,1.20831120592453
244,232,209,"light","bright",13,1.38629436111989
241,211,217,"light","bright",2,0.800119300112113
246,229,185,"light","bright",16,1.20831120592453
189,225,216,"light","bright",25,0.800119300112113
197,229,226,"light","bright",26,0.994622575144062
209,230,213,"light","bright",23,1.04596855518269
242,219,214,"light","bright",5,1.04596855518269
227,215,229,"light","bright",35,0.895384047054841
240,237,209,"light","bright",18,1.51634748936809
239,220,202,"light","bright",11,0.994622575144062
243,224,216,"light","bright",7,1.15267950993839
227,235,174,"light","bright",20,1.20831120592453
243,202,203,"light","bright",3,0.619039208406224
243,223,212,"light","bright",8,1.09861228866811
218,222,233,"light","bright",33,0.944461608840851
242,227,220,"light","bright",6,1.26566637333128
234,224,232,"light","bright",36,1.20831120592453
206,202,193,"light","gray",10,0.405465108108164
207,201,188,"light","gray",11,0.322773392263051
219,215,206,"light","gray",14,0.75377180237638
217,220,221,"light","gray",33,0.895384047054841
217,208,193,"light","gray",12,0.532216813747308
185,192,192,"light","gray",30,0.0800427076735366
214,203,191,"light","gray",5,0.405465108108164
189,187,173,"light","gray",18,-0.0400053346136992
223,230,234,"light","gray",32,1.26566637333128
217,202,195,"light","gray",2,0.447312218043665
230,228,228,"light","gray",1,1.26566637333128
217,220,209,"light","gray",21,0.847297860387203
206,224,227,"light","muted",28,0.994622575144062
190,209,225,"light","muted",31,0.489548225318706
241,217,165,"light","muted",16,0.800119300112113
241,233,207,"light","muted",15,1.38629436111989
198,222,207,"light","muted",24,0.75377180237638
246,230,203,"light","muted",13,1.26566637333128
224,234,215,"light","muted",22,1.3249254147436
236,201,202,"light","muted",3,0.575364144903562
210,230,211,"light","muted",23,1.04596855518269
205,226,222,"light","muted",26,0.994622575144062
234,217,203,"light","muted",10,0.847297860387203
229,221,231,"light","muted",35,1.04596855518269
232,221,174,"light","muted",18,0.847297860387203
220,223,229,"light","muted",33,1.04596855518269
228,228,197,"light","muted",21,1.04596855518269
235,209,205,"light","muted",4,0.663294217410264
244,222,217,"light","muted",5,1.09861228866811
234,221,225,"light","muted",1,1.09861228866811
228,217,197,"light","neutral",12,0.847297860387203
232,221,198,"light","neutral",14,0.895384047054841
227,221,204,"light","neutral",17,0.895384047054841
232,225,213,"light","neutral",11,1.09861228866811
230,224,204,"light","neutral",15,0.994622575144062
234,227,216,"light","neutral",8,1.15267950993839
207,210,199,"light","neutral",23,0.532216813747308
209,206,180,"light","neutral",19,0.405465108108164
235,218,200,"light","neutral",10,0.847297860387203
222,232,227,"light","neutral",26,1.3249254147436
212,226,230,"light","neutral",30,1.09861228866811
221,228,227,"light","neutral",29,1.20831120592453
223,235,233,"light","neutral",28,1.450010175506
216,222,206,"light","neutral",21,0.847297860387203
226,232,223,"light","neutral",25,1.26566637333128
222,228,220,"light","neutral",24,1.15267950993839
216,221,204,"light","neutral",22,0.847297860387203
240,220,215,"light","neutral",3,1.04596855518269
244,239,195,"light","pure",16,1.58562726374038
212,237,230,"light","pure",26,1.38629436111989
203,227,238,"light","pure",30,1.04596855518269
211,224,236,"light","pure",32,1.09861228866811
189,232,216,"light","pure",25,0.994622575144062
243,216,224,"light","pure",1,1.04596855518269
246,226,216,"light","pure",6,1.20831120592453
242,225,210,"light","pure",10,1.20831120592453
247,204,205,"light","pure",3,0.663294217410264
232,229,236,"light","pure",34,1.38629436111989
232,240,226,"light","pure",22,1.65822807660353
245,229,220,"light","pure",7,1.3249254147436
232,222,234,"light","pure",35,1.15267950993839
246,216,215,"light","pure",4,0.994622575144062
244,217,200,"light","pure",9,0.895384047054841
238,225,235,"light","pure",36,1.20831120592453
237,239,203,"light","pure",20,1.51634748936809
234,236,185,"light","pure",19,1.3249254147436
236,227,204,"light","shaded",13,1.04596855518269
229,219,197,"light","shaded",16,0.847297860387203
236,226,212,"light","shaded",11,1.15267950993839
227,211,181,"light","shaded",14,0.619039208406224
202,215,222,"light","shaded",30,0.708185057924486
193,206,218,"light","shaded",31,0.447312218043665
232,224,216,"light","shaded",10,1.09861228866811
208,215,223,"light","shaded",33,0.75377180237638
243,219,217,"light","shaded",4,1.04596855518269
230,240,234,"light","shaded",24,1.65822807660353
224,216,223,"light","shaded",36,0.847297860387203
233,210,204,"light","shaded",5,0.708185057924486
229,230,215,"light","shaded",22,1.26566637333128
213,226,225,"light","shaded",28,0.994622575144062
224,222,227,"light","shaded",35,0.994622575144062
239,221,223,"light","shaded",2,1.09861228866811
236,212,210,"light","shaded",3,0.800119300112113
219,220,226,"light","shaded",34,0.944461608840851
199,211,224,"light","subdued",32,0.619039208406224
209,222,228,"light","subdued",29,0.944461608840851
240,229,199,"light","subdued",15,1.15267950993839
195,217,228,"light","subdued",31,0.708185057924486
235,208,164,"light","subdued",14,0.575364144903562
239,229,217,"light","subdued",12,1.26566637333128
196,211,220,"light","subdued",30,0.575364144903562
191,214,200,"light","subdued",25,0.532216813747308
211,224,222,"light","subdued",27,0.944461608840851
206,222,226,"light","subdued",28,0.944461608840851
220,229,216,"light","subdued",23,1.09861228866811
218,219,223,"light","subdued",33,0.895384047054841
223,227,208,"light","subdued",21,1.04596855518269
234,212,196,"light","subdued",9,0.800119300112113
238,218,221,"light","subdued",2,1.04596855518269
221,224,234,"light","subdued",34,1.04596855518269
237,224,227,"light","subdued",1,1.20831120592453
243,226,220,"light","subdued",3,1.26566637333128
239,206,160,"midtone","bright",13,0.532216813747308
148,200,210,"midtone","bright",28,0.200670695462151
243,228,167,"midtone","bright",17,1.04596855518269
238,201,170,"midtone","bright",12,0.489548225318706
126,163,210,"midtone","bright",32,-0.532216813747308
230,165,127,"midtone","bright",9,-0.281851152140988
143,205,199,"midtone","bright",26,0.120144311842063
229,160,144,"midtone","bright",6,-0.281851152140988
204,216,122,"midtone","bright",20,0.447312218043665
186,215,174,"midtone","bright",22,0.405465108108164
237,170,128,"midtone","bright",10,-0.120144311842063
119,195,180,"midtone","bright",25,-0.160342650075179
213,206,105,"midtone","bright",19,0.281851152140987
128,196,169,"midtone","bright",24,-0.120144311842063
230,142,150,"midtone","bright",3,-0.489548225318706
239,193,181,"midtone","bright",7,0.363965377201411
230,157,173,"midtone","bright",2,-0.241162056816888
227,164,184,"midtone","bright",1,-0.120144311842063
209,201,186,"midtone","gray",13,0.322773392263051
177,170,156,"midtone","gray",14,-0.405465108108164
161,152,139,"midtone","gray",11,-0.75377180237638
169,154,137,"midtone","gray",7,-0.663294217410264
183,166,150,"midtone","gray",6,-0.489548225318706
167,174,165,"midtone","gray",21,-0.322773392263051
156,163,137,"midtone","gray",20,-0.663294217410264
137,160,166,"midtone","gray",28,-0.663294217410264
147,149,129,"midtone","gray",19,-0.895384047054841
151,147,129,"midtone","gray",18,-0.895384047054841
183,169,162,"midtone","gray",2,-0.363965377201412
192,178,177,"midtone","gray",1,-0.160342650075179
143,188,196,"midtone","muted",28,-0.160342650075179
140,195,195,"midtone","muted",27,0.0400053346136992
114,156,194,"midtone","muted",31,-0.708185057924486
136,181,196,"midtone","muted",29,-0.281851152140988
216,166,134,"midtone","muted",9,-0.322773392263051
216,185,140,"midtone","muted",12,0
223,192,166,"midtone","muted",10,0.200670695462151
226,195,146,"midtone","muted",15,0.241162056816888
231,206,181,"midtone","muted",11,0.532216813747308
194,177,200,"midtone","muted",35,-0.120144311842063
221,166,159,"midtone","muted",4,-0.200670695462151
217,177,159,"midtone","muted",7,-0.120144311842063
236,188,178,"midtone","muted",5,0.241162056816888
230,194,111,"midtone","muted",16,0.160342650075179
198,187,104,"midtone","muted",19,-0.120144311842063
214,179,192,"midtone","muted",1,0
209,148,161,"midtone","muted",2,-0.532216813747308
215,194,117,"midtone","muted",18,0.160342650075179
198,180,156,"midtone","neutral",12,-0.160342650075179
205,186,153,"midtone","neutral",14,-0.0800427076735365
192,175,146,"midtone","neutral",16,-0.281851152140988
181,200,201,"midtone","neutral",28,0.200670695462151
186,203,196,"midtone","neutral",26,0.281851152140987
172,175,149,"midtone","neutral",20,-0.363965377201412
168,187,186,"midtone","neutral",27,-0.120144311842063
177,179,190,"midtone","neutral",34,-0.200670695462151
171,181,196,"midtone","neutral",33,-0.160342650075179
189,173,164,"midtone","neutral",8,-0.322773392263051
171,179,158,"midtone","neutral",22,-0.281851152140988
173,198,211,"midtone","neutral",30,0.200670695462151
179,198,185,"midtone","neutral",25,0.120144311842063
208,187,176,"midtone","neutral",7,0.0400053346136992
210,187,178,"midtone","neutral",6,0.0800427076735366
202,183,192,"midtone","neutral",1,0
217,190,188,"midtone","neutral",3,0.200670695462151
156,212,225,"midtone","pure",28,0.447312218043665
128,193,226,"midtone","pure",29,0
181,228,228,"midtone","pure",27,0.895384047054841
